x-axis,1,2
second,Volt,Volt
-19.16000E-03,-397.50001E-03,+249.98E-06
-19.11000E-03,-372.50001E-03,+249.98E-06
-19.06000E-03,-362.50001E-03,+249.98E-06
-19.01000E-03,-386.25001E-03,+249.98E-06
-18.96000E-03,-382.50001E-03,+249.98E-06
-18.91000E-03,-375.00001E-03,+249.98E-06
-18.86000E-03,-373.75001E-03,+249.98E-06
-18.81000E-03,-373.75001E-03,+249.98E-06
-18.76000E-03,-378.75001E-03,+249.98E-06
-18.71000E-03,-375.00001E-03,+249.98E-06
-18.66000E-03,-353.75001E-03,+5.24998E-03
-18.61000E-03,-358.75001E-03,+1.49998E-03
-18.56000E-03,-366.25001E-03,+5.24998E-03
-18.51000E-03,-347.50001E-03,+1.49998E-03
-18.46000E-03,-357.50001E-03,+249.98E-06
-18.41000E-03,-331.25001E-03,+249.98E-06
-18.36000E-03,-353.75001E-03,+249.98E-06
-18.31000E-03,-346.25001E-03,-4.75002E-03
-18.26000E-03,-332.50001E-03,-1.00002E-03
-18.21000E-03,-365.00001E-03,+249.98E-06
-18.16000E-03,-363.75001E-03,+249.98E-06
-18.11000E-03,-326.25001E-03,+249.98E-06
-18.06000E-03,-362.50001E-03,+249.98E-06
-18.01000E-03,-363.75001E-03,-4.75002E-03
-17.96000E-03,-266.25001E-03,-1.00002E-03
-17.91000E-03,-342.50001E-03,+249.98E-06
-17.86000E-03,-357.50001E-03,+249.98E-06
-17.81000E-03,-385.00001E-03,+249.98E-06
-17.76000E-03,-512.50001E-03,+249.98E-06
-17.71000E-03,-372.50001E-03,-4.75002E-03
-17.66000E-03,-335.00001E-03,-1.00002E-03
-17.61000E-03,-351.25001E-03,+249.98E-06
-17.56000E-03,-340.00001E-03,+249.98E-06
-17.51000E-03,-331.25001E-03,+249.98E-06
-17.46000E-03,-370.00001E-03,+249.98E-06
-17.41000E-03,-365.00001E-03,+249.98E-06
-17.36000E-03,-351.25001E-03,+249.98E-06
-17.31000E-03,-368.75001E-03,+249.98E-06
-17.26000E-03,-363.75001E-03,+249.98E-06
-17.21000E-03,-356.25001E-03,+249.98E-06
-17.16000E-03,-350.00001E-03,+249.98E-06
-17.11000E-03,-343.75001E-03,+5.24998E-03
-17.06000E-03,-347.50001E-03,+6.49998E-03
-17.01000E-03,-393.75001E-03,+1.49998E-03
-16.96000E-03,-335.00001E-03,-4.75002E-03
-16.91000E-03,-322.50001E-03,-1.00002E-03
-16.86000E-03,-313.75001E-03,+5.24998E-03
-16.81000E-03,-331.25001E-03,+1.49998E-03
